CS Number,Application Track,Country,Program,Korean Language Institution,University,Department,Scholarship Status,alpha2_country,alpha2_cotinent,point,latitude,longitude,one,country_sum,proportion
CS01220218,Embassy,Albania,Master,Seokyeong University,Kyungpook National University,Electronic and electrical engineering,,AL,EU,"(41.000028, 19.9999619, 0.0)",41.000028,19.9999619,1,1,0.000838223
CS01220219,Embassy,Algeria,Doctoral,Pai Chai University,Seoul National University,Earth and environmental sciences,,DZ,AF,"(28.0000272, 2.9999825, 0.0)",28.0000272,2.9999825,1,4,0.003352892
CS01220220,Embassy,Algeria,Master,Sunmoon University,Korea University,Business administration,,DZ,AF,"(28.0000272, 2.9999825, 0.0)",28.0000272,2.9999825,1,4,0.003352892
CS01220221,Embassy,Angola,Master,Sunmoon University,Pusan National University,Dept. of food and resource economics,,AO,AF,"(-11.8775768, 17.5691241, 0.0)",-11.8775768,17.5691241,1,1,0.000838223
CS01220222,Embassy,Argentina,Master,Keimyung University,Hankuk University Of Foreign Studies,International studies,,AR,SA,"(-34.9964963, -64.9672817, 0.0)",-34.9964963,-64.9672817,1,2,0.001676446
CS01220223,Embassy,Argentina,Master,Konyang University,Sogang University,International relations,,AR,SA,"(-34.9964963, -64.9672817, 0.0)",-34.9964963,-64.9672817,1,2,0.001676446
CS01220224,Embassy,Armenia,Master,Pai Chai University,Hankuk University Of Foreign Studies,Korean language and literature,Conditionalsuccessful candidate,AM,AS,"(40.7696272, 44.6736646, 0.0)",40.7696272,44.6736646,1,3,0.002514669
CS01220225,Embassy,Armenia,Master,Busan University Of Foreignstudies,Ewha Womans University,International studies,,AM,AS,"(40.7696272, 44.6736646, 0.0)",40.7696272,44.6736646,1,3,0.002514669
CS01220226,Embassy,Australia,Master,Exempt,Dongguk University,Film and digital media,,AU,OC,"(-24.7761086, 134.755, 0.0)",-24.7761086,134.755,1,1,0.000838223
CS01220227,Embassy,Austria,Master,Exempt,Korea University,Media & communication,Scholarship deffered(6 months),AT,EU,"(47.59397, 14.12456, 0.0)",47.59397,14.12456,1,1,0.000838223
CS01220228,Embassy,Azerbaijan,Master,Exempt,Korea University,Business administration,,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220229,Embassy,Azerbaijan,Doctoral,Exempt,Hankuk University Of Foreign Studies,Korean language and literature,,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220230,Embassy,Azerbaijan,Master,Exempt,Yonsei University,Korean language and literature,Scholarship deffered(6 months),AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220231,Embassy,Azerbaijan,Master,Exempt,Hankuk University Of Foreign Studies,History,,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220232,Embassy,Azerbaijan,Master,Chungnam Univeristy,Kyung Hee University,Chemical engineering,Conditionalsuccessful candidate,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220233,Embassy,Azerbaijan,Master,Sunchon National University,Korea University,International studies,Conditionalsuccessful candidate,AZ,AS,"(40.3936294, 47.7872508, 0.0)",40.3936294,47.7872508,1,19,0.015926236
CS01220234,Embassy,Bahrain,Master,Sunmoon University,Busan University Of Foreign Studies,Korean language education,Conditionalsuccessful candidate,BH,AS,"(26.1551249, 50.5344606, 0.0)",26.1551249,50.5344606,1,3,0.002514669
CS01220235,Embassy,Bahrain,Master,Konyang University,Sungkyunkwan University,Architecture,,BH,AS,"(26.1551249, 50.5344606, 0.0)",26.1551249,50.5344606,1,3,0.002514669
CS01220236,Embassy,Bahrain,Master,Jeju National University,Hankuk University Of Foreign Studies,Korean studies,,BH,AS,"(26.1551249, 50.5344606, 0.0)",26.1551249,50.5344606,1,3,0.002514669
CS01220237,Embassy,Bangladesh,Master,Sunchon National University,Kaist - Korea Advanced Institute Ofscience And Technology,Civil and environmental engineering,,BD,AS,"(24.4769288, 90.2934413, 0.0)",24.4769288,90.2934413,1,20,0.016764459
CS01220238,Embassy,Bangladesh,Master,Sunmoon University,Chung-Ang University,Pharmacy,,BD,AS,"(24.4769288, 90.2934413, 0.0)",24.4769288,90.2934413,1,20,0.016764459
CS01220239,Embassy,Bangladesh,Master,Sunchon National University,Konkuk University,Management of technology,,BD,AS,"(24.4769288, 90.2934413, 0.0)",24.4769288,90.2934413,1,20,0.016764459
CS01220240,Embassy,Bangladesh,Doctoral,Chungnam Univeristy,Chonnam National University,Aqualife medicine,,BD,AS,"(24.4769288, 90.2934413, 0.0)",24.4769288,90.2934413,1,20,0.016764459
CS01220241,Embassy,Bangladesh,Master,Sunchon National University,Konkuk University,Clothing,,BD,AS,"(24.4769288, 90.2934413, 0.0)",24.4769288,90.2934413,1,20,0.016764459
CS01220242,Embassy,Barbados,Master,Chejuhalla University,Hankuk University Of Foreign Studies,International studies,,BB,NA,"(13.1500331, -59.5250305, 0.0)",13.1500331,-59.5250305,1,1,0.000838223
CS01220243,Embassy,Belarus,Master,Chungnam Univeristy,Sungkyunkwan University,East asian studies,,BY,EU,"(53.4250605, 27.6971358, 0.0)",53.4250605,27.6971358,1,4,0.003352892
CS01220244,Embassy,Belarus,Master,Keimyung University,Seoul National University,Korean language education(korean as a foreignlanguage education major),Conditionalsuccessful candidate,BY,EU,"(53.4250605, 27.6971358, 0.0)",53.4250605,27.6971358,1,4,0.003352892
CS01220245,Embassy,Belgium,Doctoral,Kangwon National University,Yonsei University,Korean studies,,BE,EU,"(50.6402809, 4.6667145, 0.0)",50.6402809,4.6667145,1,1,0.000838223
CS01220246,Embassy,Benin,Master,Jeju National University,Pusan National University,International logistics & port management,,BJ,AF,"(9.5293472, 2.2584408, 0.0)",9.5293472,2.2584408,1,1,0.000838223
CS01220247,Embassy,Bolivia,Master,Sunmoon University,Ewha Womans University,Education,,BO,SA,"(-17.0568696, -64.9912286, 0.0)",-17.0568696,-64.9912286,1,2,0.001676446
CS01220248,Embassy,Bolivia,Master,Duksung Women'S University,Chungnam National University,Business administration,,BO,SA,"(-17.0568696, -64.9912286, 0.0)",-17.0568696,-64.9912286,1,2,0.001676446
CS01220249,Embassy,Bosnia and Herzegovina,Master,Kangwon National University,Chonnam National University,Biomedical engineering,,BA,EU,"(44.3053476, 17.5961467, 0.0)",44.3053476,17.5961467,1,1,0.000838223
CS01220250,Embassy,Botswana,Master,Kangwon National University,Sungkyunkwan University,Skk gsb full-time mba,,BW,AF,"(-23.1681782, 24.5928742, 0.0)",-23.1681782,24.5928742,1,1,0.000838223
CS01220251,Embassy,Brazil,Master,Exempt,Konkuk University,Education,,BR,SA,"(-10.3333333, -53.2, 0.0)",-10.3333333,-53.2,1,13,0.010896899
CS01220252,Embassy,Brazil,Master,Keimyung University,Sogang University,Computer science and engineering,,BR,SA,"(-10.3333333, -53.2, 0.0)",-10.3333333,-53.2,1,13,0.010896899
CS01220253,Embassy,Brazil,Master,Sunchon National University,Seoul National University,Dental sciences(conservative dentistry),,BR,SA,"(-10.3333333, -53.2, 0.0)",-10.3333333,-53.2,1,13,0.010896899
CS01220254,Embassy,Brazil,Master,Sunchon National University,Sogang University,International relations,Conditionalsuccessful candidate,BR,SA,"(-10.3333333, -53.2, 0.0)",-10.3333333,-53.2,1,13,0.010896899
CS01220255,Embassy,Brazil,Master,Keimyung University,Ewha Womans University,International studies,,BR,SA,"(-10.3333333, -53.2, 0.0)",-10.3333333,-53.2,1,13,0.010896899
CS01220256,Embassy,Brunei,Master,Chungnam Univeristy,Sogang University,Korea & east asia,,BN,AS,"(4.4137155, 114.5653908, 0.0)",4.4137155,114.5653908,1,3,0.002514669
CS01220257,Embassy,Brunei,Master,Daegu University,Chonnam National University,Culture contents,,BN,AS,"(4.4137155, 114.5653908, 0.0)",4.4137155,114.5653908,1,3,0.002514669
CS01220258,Embassy,Brunei,Master,Dongseo University,Yeungnam University,Media and communication,,BN,AS,"(4.4137155, 114.5653908, 0.0)",4.4137155,114.5653908,1,3,0.002514669
CS01220259,Embassy,Bulgaria,Master,Jeju National University,Korea University,International studies,,BG,EU,"(42.6073975, 25.4856617, 0.0)",42.6073975,25.4856617,1,6,0.005029338
CS01220260,Embassy,Bulgaria,Master,Dongseo University,Hannam University,Management information systems,,BG,EU,"(42.6073975, 25.4856617, 0.0)",42.6073975,25.4856617,1,6,0.005029338
CS01220261,Embassy,Bulgaria,Master,Daegu University,Chung-Ang University,Global mba,Conditionalsuccessful candidate,BG,EU,"(42.6073975, 25.4856617, 0.0)",42.6073975,25.4856617,1,6,0.005029338
CS01220262,Embassy,Bulgaria,Master,Sunchon National University,Sookmyung Women'S University,Communications & media,Conditionalsuccessful candidate,BG,EU,"(42.6073975, 25.4856617, 0.0)",42.6073975,25.4856617,1,6,0.005029338
CS01220263,Embassy,Bulgaria,Master,Dongseo University,Hongik University,Digital media design,Conditionalsuccessful candidate,BG,EU,"(42.6073975, 25.4856617, 0.0)",42.6073975,25.4856617,1,6,0.005029338
CS01220264,Embassy,Burkina Faso,Master,Busan University Of Foreignstudies,Daejeon University,Dept. of computer & information security,,BF,AF,"(12.0753083, -1.6880314, 0.0)",12.0753083,-1.6880314,1,2,0.001676446
CS01220265,Embassy,Cambodia,Master,Kangwon National University,Yonsei University,Global studies,,KH,AS,"(12.5433216, 104.8144914, 0.0)",12.5433216,104.8144914,1,42,0.035205365
CS01220266,Embassy,Cambodia,Master,Chonnam National University,Chung-Ang University,Food and nutrition,Conditionalsuccessful candidate,KH,AS,"(12.5433216, 104.8144914, 0.0)",12.5433216,104.8144914,1,42,0.035205365
CS01220267,Embassy,Cambodia,Master,Dongseo University,Seoul National University,"Department of agriculture, forestry andbioresources(crop science and biotechnology",,KH,AS,"(12.5433216, 104.8144914, 0.0)",12.5433216,104.8144914,1,42,0.035205365
CS01220268,Embassy,Cambodia,Master,Kangwon National University,Pusan National University,Dept. of information convergence engineering(ai),,KH,AS,"(12.5433216, 104.8144914, 0.0)",12.5433216,104.8144914,1,42,0.035205365
CS01220269,Embassy,Cambodia,Master,Chungnam Univeristy,Korea University,International studies,,KH,AS,"(12.5433216, 104.8144914, 0.0)",12.5433216,104.8144914,1,42,0.035205365
CS01220270,Embassy,Cambodia,Master,Pai Chai University,Seoul National University,Computer science and engineering,,KH,AS,"(12.5433216, 104.8144914, 0.0)",12.5433216,104.8144914,1,42,0.035205365
CS01220271,Embassy,Cambodia,Master,Chungnam Univeristy,Pusan National University,International & area studies,,KH,AS,"(12.5433216, 104.8144914, 0.0)",12.5433216,104.8144914,1,42,0.035205365
CS01220272,Embassy,Cambodia,Master,Pai Chai University,Korea University,"Civil, environmental and architectural engineering",,KH,AS,"(12.5433216, 104.8144914, 0.0)",12.5433216,104.8144914,1,42,0.035205365
CS01220273,Embassy,Canada,Master,Sunchon National University,Hongik University,Advertising & public relations,,CA,NA,"(61.0666922, -107.991707, 0.0)",61.0666922,-107.991707,1,1,0.000838223
CS01220274,Embassy,Chile,Master,Pai Chai University,Korea University,International studies,,CL,SA,"(-31.7613365, -71.3187697, 0.0)",-31.7613365,-71.3187697,1,4,0.003352892
CS01220275,Embassy,Chile,Master,Dongseo University,Yonsei University,Global studies,,CL,SA,"(-31.7613365, -71.3187697, 0.0)",-31.7613365,-71.3187697,1,4,0.003352892
CS01220276,Embassy,Chile,Master,Daejon University,Korea University,"Civil, environmental and architectural engineering",,CL,SA,"(-31.7613365, -71.3187697, 0.0)",-31.7613365,-71.3187697,1,4,0.003352892
CS01220277,Embassy,China,Doctoral,Seokyeong University,Kyungpook National University,Ecology and environmental system,Conditionalsuccessful candidate,CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220278,Embassy,China,Doctoral,Sunchon National University,Seoul National University,Civil and environmental engineering(civil andenvironmental engineering major),,CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220279,Embassy,China,Doctoral,Exempt,Seoul National University,Korean language education(korean as a foreignlanguage education major),Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220280,Embassy,China,Doctoral,Exempt,Hongik University,Designcraft(visual communication design),Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220281,Embassy,China,Master,Exempt,Seoul National University,Business administration(finance),Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220282,Embassy,China,Master,Exempt,Seoul National University,Korean language and literature(koreanlinguistics),Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220283,Embassy,China,Master,Exempt,Korea University,Korean language and literature,Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220284,Embassy,China,Master,Keimyung University,Yonsei University,Global studies,Conditionalsuccessful candidate,CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220285,Embassy,China,Doctoral,Exempt,Ewha Womans University,Korean studies,,CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220286,Embassy,China,Master,Exempt,Seoul National University,International studies(international area studiesmajor),Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220287,Embassy,China,Master,Exempt,Hanyang University,Media communication,Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220288,Embassy,China,Doctoral,Exempt,Sungkyunkwan University,Korean language and literature,Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220289,Embassy,China,Master,Exempt,Seoul National University,Mechanical engineering,Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220290,Embassy,China,Doctoral,Exempt,Chung-Ang University,"Performing arts(dance studies, choreography)",Scholarship deffered(6 months),CN,AS,"(35.000074, 104.999927, 0.0)",35.000074,104.999927,1,16,0.013411567
CS01220291,Embassy,Colombia,Master,Exempt,Chonnam National University,Computer engineering,,CO,SA,"(4.099917, -72.9088133, 0.0)",4.099917,-72.9088133,1,9,0.007544007
CS01220292,Embassy,Colombia,Master,Exempt,Pusan National University,International and area studies,,CO,SA,"(4.099917, -72.9088133, 0.0)",4.099917,-72.9088133,1,9,0.007544007
CS01220293,Embassy,Colombia,Master,Sunmoon University,Hankuk University Of Foreign Studies,Korean language and literature,,CO,SA,"(4.099917, -72.9088133, 0.0)",4.099917,-72.9088133,1,9,0.007544007
CS01220294,Embassy,Costa Rica,Master,Keimyung University,Hanyang University,Entrepreneurship,,CR,NA,"(10.2735633, -84.0739102, 0.0)",10.2735633,-84.0739102,1,2,0.001676446
CS01220295,Embassy,Côte d'Ivoire,Doctoral,Seokyeong University,Chungnam National University,Agricultural economics,,CI,AF,"(7.9897371, -5.5679458, 0.0)",7.9897371,-5.5679458,1,2,0.001676446
CS01220296,Embassy,Côte d'Ivoire,Master,Duksung Women'S University,Pusan National University,Dept. of information covergenceengineering(computer engineering),,CI,AF,"(7.9897371, -5.5679458, 0.0)",7.9897371,-5.5679458,1,2,0.001676446
CS01220297,Embassy,Croatia,Master,Konyang University,Silla University,Food nutrition,,HR,EU,"(45.5643442, 17.0118954, 0.0)",45.5643442,17.0118954,1,1,0.000838223
CS01220298,Embassy,Cuba,Master,Sunchon National University,Yeungnam University,Forest resources,,CU,NA,"(23.0131338, -80.8328748, 0.0)",23.0131338,-80.8328748,1,1,0.000838223
CS01220299,Embassy,Czechia,Master,Sunchon National University,Yonsei University,Global studies,Conditionalsuccessful candidate,CZ,EU,"(49.7439047, 15.3381061, 0.0)",49.7439047,15.3381061,1,2,0.001676446
CS01220300,Embassy,Czechia,Master,Chejuhalla University,Hankuk University Of Foreign Studies,Korean language and literature,Conditionalsuccessful candidate,CZ,EU,"(49.7439047, 15.3381061, 0.0)",49.7439047,15.3381061,1,2,0.001676446
CS01220301,Embassy,Denmark,Master,Keimyung University,Yonsei University,Global studies,Conditionalsuccessful candidate,DK,EU,"(55.670249, 10.3333283, 0.0)",55.670249,10.3333283,1,1,0.000838223
CS01220302,Embassy,Dominican Republic,Master,Keimyung University,Ewha Womans University,International studies,,DO,NA,"(19.0974031, -70.3028026, 0.0)",19.0974031,-70.3028026,1,4,0.003352892
CS01220303,Embassy,Dominican Republic,Master,Konyang University,Ewha Womans University,International studies,,DO,NA,"(19.0974031, -70.3028026, 0.0)",19.0974031,-70.3028026,1,4,0.003352892
CS01220304,Embassy,Dominican Republic,Master,Daejon University,Ajou University,Digital media,,DO,NA,"(19.0974031, -70.3028026, 0.0)",19.0974031,-70.3028026,1,4,0.003352892
CS01220305,Embassy,Congo,Master,Chungnam Univeristy,Dong-A University,Electronic engineering,,CG,AF,"(-2.9814344, 23.8222636, 0.0)",-2.9814344,23.8222636,1,1,0.000838223
CS01220306,Embassy,Ecuador,Master,Keimyung University,Korea University,Life sciences,,EC,SA,"(-1.3397668, -79.3666965, 0.0)",-1.3397668,-79.3666965,1,6,0.005029338
CS01220307,Embassy,Ecuador,Master,Busan University Of Foreignstudies,Korea University,International studies,,EC,SA,"(-1.3397668, -79.3666965, 0.0)",-1.3397668,-79.3666965,1,6,0.005029338
CS01220308,Embassy,Ecuador,Doctoral,Daejon University,Hankuk University Of Foreign Studies,Education,,EC,SA,"(-1.3397668, -79.3666965, 0.0)",-1.3397668,-79.3666965,1,6,0.005029338
CS01220309,Embassy,Ecuador,Master,Pai Chai University,Dongseo University,Visual contents,,EC,SA,"(-1.3397668, -79.3666965, 0.0)",-1.3397668,-79.3666965,1,6,0.005029338
CS01220310,Embassy,Ecuador,Master,Chonnam National University,Yonsei University,Medical science,,EC,SA,"(-1.3397668, -79.3666965, 0.0)",-1.3397668,-79.3666965,1,6,0.005029338
CS01220311,Embassy,Ecuador,Master,Duksung Women'S University,Dongseo University,Business administration,,EC,SA,"(-1.3397668, -79.3666965, 0.0)",-1.3397668,-79.3666965,1,6,0.005029338
CS01220312,Embassy,Egypt,Master,Sunchon National University,Kyung Hee University,Political science,,EG,AF,"(26.2540493, 29.2675469, 0.0)",26.2540493,29.2675469,1,8,0.006705784
CS01220313,Embassy,Egypt,Master,Exempt,Yonsei University,Media communication,,EG,AF,"(26.2540493, 29.2675469, 0.0)",26.2540493,29.2675469,1,8,0.006705784
CS01220314,Embassy,El Salvador,Master,Konyang University,Korea University,Public administration,,SV,NA,"(13.8000382, -88.9140683, 0.0)",13.8000382,-88.9140683,1,3,0.002514669
CS01220315,Embassy,El Salvador,Master,Chejuhalla University,Korea University,Energy and environment policy and technology,,SV,NA,"(13.8000382, -88.9140683, 0.0)",13.8000382,-88.9140683,1,3,0.002514669
CS01220316,Embassy,El Salvador,Master,Sunmoon University,Chonnam National University,Global mba,,SV,NA,"(13.8000382, -88.9140683, 0.0)",13.8000382,-88.9140683,1,3,0.002514669
CS01220317,Embassy,Estonia,Master,Pai Chai University,Seoul National University,Law,Conditionalsuccessful candidate,EE,EU,"(58.7523778, 25.3319078, 0.0)",58.7523778,25.3319078,1,1,0.000838223
CS01220318,Embassy,Ethiopia,Master,Sunchon National University,Sogang University,International finance,,ET,AF,"(10.2116702, 38.6521203, 0.0)",10.2116702,38.6521203,1,17,0.01424979
CS01220319,Embassy,Ethiopia,Master,Chungnam Univeristy,Ewha Womans University,Artifical intelligence and software,,ET,AF,"(10.2116702, 38.6521203, 0.0)",10.2116702,38.6521203,1,17,0.01424979
CS01220320,Embassy,Ethiopia,Master,Chungnam Univeristy,Korea University Of Technology Andeducation (Koreatech),Department of industrial design engineering,,ET,AF,"(10.2116702, 38.6521203, 0.0)",10.2116702,38.6521203,1,17,0.01424979
CS01220321,Embassy,Ethiopia,Doctoral,Kangwon National University,Gyeongsang National University,Agricultural economics,,ET,AF,"(10.2116702, 38.6521203, 0.0)",10.2116702,38.6521203,1,17,0.01424979
CS01220322,Embassy,Ethiopia,Master,Konyang University,Ewha Womans University,Architecture,,ET,AF,"(10.2116702, 38.6521203, 0.0)",10.2116702,38.6521203,1,17,0.01424979
CS01220323,Embassy,Ethiopia,Doctoral,Daegu University,Sungkyunkwan University,"Civil, architectural and environmental systemengineering",,ET,AF,"(10.2116702, 38.6521203, 0.0)",10.2116702,38.6521203,1,17,0.01424979
CS01220324,Embassy,Fiji,Master,Sunchon National University,Hanyang University,Environmental science,,FJ,OC,"(-18.1239696, 179.0122737, 0.0)",-18.1239696,179.0122737,1,1,0.000838223
CS01220325,Embassy,Finland,Master,Exempt,Seoul National University,Korean language and literature(koreanlinguistics),Scholarship deffered(6 months),FI,EU,"(63.2467777, 25.9209164, 0.0)",63.2467777,25.9209164,1,2,0.001676446
CS01220326,Embassy,Finland,Master,Exempt,Chung-Ang University,Department of image science and arts,,FI,EU,"(63.2467777, 25.9209164, 0.0)",63.2467777,25.9209164,1,2,0.001676446
CS01220327,Embassy,France,Master,Exempt,Dongguk University,Film and digital media,,FR,EU,"(46.603354, 1.8883335, 0.0)",46.603354,1.8883335,1,5,0.004191115
CS01220328,Embassy,France,Master,Daegu University,Seoul National University,Korean language and literature(koreanlinguistics),Conditionalsuccessful candidate,FR,EU,"(46.603354, 1.8883335, 0.0)",46.603354,1.8883335,1,5,0.004191115
CS01220329,Embassy,France,Doctoral,Seokyeong University,Pusan National University,Dept. of plant bioscience,,FR,EU,"(46.603354, 1.8883335, 0.0)",46.603354,1.8883335,1,5,0.004191115
CS01220330,Embassy,Gabon,Master,Busan University Of Foreignstudies,Jeonbuk National University,Business administration,,GA,AF,"(-0.8999695, 11.6899699, 0.0)",-0.8999695,11.6899699,1,1,0.000838223
CS01220331,Embassy,Gambia,Master,Dongseo University,Chung-Ang University,Business administration,,GM,AF,"(13.470062, -15.4900464, 0.0)",13.470062,-15.4900464,1,2,0.001676446
CS01220332,Embassy,Georgia,Master,Busan University Of Foreignstudies,Korea University,Chemistry,Conditionalsuccessful candidate,GE,AS,"(32.3293809, -83.1137366, 0.0)",32.3293809,-83.1137366,1,4,0.003352892
CS01220333,Embassy,Georgia,Master,Exempt,Ewha Womans University,Korean studies,,GE,AS,"(32.3293809, -83.1137366, 0.0)",32.3293809,-83.1137366,1,4,0.003352892
CS01220334,Embassy,Georgia,Master,Busan University Of Foreignstudies,Chonnam National University,Electrical engineering,,GE,AS,"(32.3293809, -83.1137366, 0.0)",32.3293809,-83.1137366,1,4,0.003352892
CS01220335,Embassy,Georgia,Master,Exempt,Ewha Womans University,Korean language & literature,,GE,AS,"(32.3293809, -83.1137366, 0.0)",32.3293809,-83.1137366,1,4,0.003352892
CS01220336,Embassy,Germany,Master,Exempt,Chungnam National University,Computer engineering,Scholarship deffered(6 months),DE,EU,"(51.1638175, 10.4478313, 0.0)",51.1638175,10.4478313,1,7,0.005867561
CS01220337,Embassy,Germany,Master,Exempt,Chung-Ang University,Department of image science and arts,,DE,EU,"(51.1638175, 10.4478313, 0.0)",51.1638175,10.4478313,1,7,0.005867561
CS01220338,Embassy,Germany,Doctoral,Jeju National University,Chungnam National University,Oceanography,,DE,EU,"(51.1638175, 10.4478313, 0.0)",51.1638175,10.4478313,1,7,0.005867561
CS01220339,Embassy,Germany,Master,Busan University Of Foreignstudies,Ewha Womans University,International studies,Conditionalsuccessful candidate,DE,EU,"(51.1638175, 10.4478313, 0.0)",51.1638175,10.4478313,1,7,0.005867561
CS01220340,Embassy,Germany,Master,Seokyeong University,Pusan National University,Dept. of art culture & image,,DE,EU,"(51.1638175, 10.4478313, 0.0)",51.1638175,10.4478313,1,7,0.005867561
CS01220341,Embassy,Ghana,Master,Chonnam National University,Dongseo University,Computer engineering,,GH,AF,"(8.0300284, -1.0800271, 0.0)",8.0300284,-1.0800271,1,12,0.010058676
CS01220342,Embassy,Ghana,Master,Pai Chai University,Inje University,Energy system engineering,,GH,AF,"(8.0300284, -1.0800271, 0.0)",8.0300284,-1.0800271,1,12,0.010058676
CS01220343,Embassy,Ghana,Doctoral,Seokyeong University,Konyang University,Department of public health,,GH,AF,"(8.0300284, -1.0800271, 0.0)",8.0300284,-1.0800271,1,12,0.010058676
CS01220344,Embassy,Ghana,Master,Daejon University,Gyeongsang National University,Applied life science(applied life science),,GH,AF,"(8.0300284, -1.0800271, 0.0)",8.0300284,-1.0800271,1,12,0.010058676
CS01220345,Embassy,Ghana,Master,Sunchon National University,Kangwon National University,Business administration,,GH,AF,"(8.0300284, -1.0800271, 0.0)",8.0300284,-1.0800271,1,12,0.010058676
CS01220346,Embassy,Greece,Doctoral,Chejuhalla University,Yonsei University,Korean studies,Conditionalsuccessful candidate,GR,EU,"(38.9953683, 21.9877132, 0.0)",38.9953683,21.9877132,1,2,0.001676446
CS01220347,Embassy,Greece,Doctoral,Exempt,Hanyang University,Korean language and literature,,GR,EU,"(38.9953683, 21.9877132, 0.0)",38.9953683,21.9877132,1,2,0.001676446
CS01220348,Embassy,Guatemala,Master,Daejon University,Dongseo University,Film & video (production major),,GT,NA,"(15.5855545, -90.345759, 0.0)",15.5855545,-90.345759,1,2,0.001676446
CS01220349,Embassy,Guatemala,Master,Daegu University,Ewha Womans University,International studies,,GT,NA,"(15.5855545, -90.345759, 0.0)",15.5855545,-90.345759,1,2,0.001676446
CS01220350,Embassy,Guyana,Master,Keimyung University,Sookmyung Women'S University,"Interdisciplinary program(climate, environmentand energy studies)",,GY,SA,"(4.8417097, -58.6416891, 0.0)",4.8417097,-58.6416891,1,1,0.000838223
CS01220351,Embassy,Honduras,Master,Pai Chai University,Sungkyunkwan University,Skk gsb full-time mba,,HN,NA,"(15.2572432, -86.0755145, 0.0)",15.2572432,-86.0755145,1,1,0.000838223
CS01220352,Embassy,Hong Kong,Master,Keimyung University,Korea University,Korean language and literature,Conditionalsuccessful candidate,HK,AS,"(22.2793278, 114.1628131, 0.0)",22.2793278,114.1628131,1,2,0.001676446
CS01220353,Embassy,Hong Kong,Master,Exempt,Korea University,Media & communication,,HK,AS,"(22.2793278, 114.1628131, 0.0)",22.2793278,114.1628131,1,2,0.001676446
CS01220354,Embassy,Hungary,Master,Sunchon National University,Chung-Ang University,Business administration,,HU,EU,"(47.1817585, 19.5060937, 0.0)",47.1817585,19.5060937,1,4,0.003352892
CS01220355,Embassy,Hungary,Master,Daegu University,Hanyang University,Business administration - marketing,,HU,EU,"(47.1817585, 19.5060937, 0.0)",47.1817585,19.5060937,1,4,0.003352892
CS01220356,Embassy,Hungary,Master,Dongseo University,Chonnam National University,Psychology,Conditionalsuccessful candidate,HU,EU,"(47.1817585, 19.5060937, 0.0)",47.1817585,19.5060937,1,4,0.003352892
CS01220357,Embassy,India,Master,Pai Chai University,Ewha Womans University,Communication & media,,IN,AS,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,1,61,0.051131601
CS01220358,Embassy,India,Doctoral,Daegu University,Korea University,Environmental science & ecological engineering,,IN,AS,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,1,61,0.051131601
CS01220359,Embassy,India,Master,Daejon University,Hongik University,Fashion design,,IN,AS,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,1,61,0.051131601
CS01220360,Embassy,India,Master,Sunchon National University,Yonsei University,Korean studies,Conditionalsuccessful candidate,IN,AS,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,1,61,0.051131601
CS01220361,Embassy,India,Master,Sunmoon University,Keimyung University,Teaching korean as a foreign language,,IN,AS,"(22.3511148, 78.6677428, 0.0)",22.3511148,78.6677428,1,61,0.051131601
